Chain,subj,Sex,Age,MediumFirst,MediumSecond,,,,,First Set,Second Set,,subjwave2,,,,,,,Set,,,,,,,First,Second
1,1,M,Y,L,M,L1,M1,L1,M1,A,D,,,,,,,,,A,N1,S,W,,,N1,S,W
2,2,M,Y,M,L,M2,L2,M2,L2,A,D,,,,,,,,,A,N2,S,W,,,N2,S,W
3,3,M,Y,L,M,L3,M3,L3,M3,D,A,,,,,,,,,A,N3,S,W,,,N3,S,W
4,4,M,Y,M,L,M4,L4,M4,L4,D,A,,,,,,,,,,,,,,,N4,S,W
5,5,M,Y,L,M,L5,M5,L5,M5,B,C,,,,,,,,,B,N1,W,S,,,N5,S,W
6,6,M,Y,M,L,M6,L6,M6,L6,B,C,,,,,,,,,B,N2,W,S,,,N6,S,W
7,7,M,Y,L,M,L7,M7,L7,M7,C,B,,,,,,,,,B,N3,W,S,,,,,
8,8,M,Y,M,L,M8,L8,M8,L8,C,B,,,,,,,,,,,,,,,N1,W,S
9,9,M,O,L,M,L9,M9,L9,M9,A,D,,,,,,,,,C,N4,S,W,,,N2,W,S
10,10,M,O,M,L,M10,L10,M10,L10,A,D,,,,,,,,,C,N5,S,W,,,N3,W,S
11,11,M,O,L,M,L11,M11,L11,M11,D,A,,,,,,,,,C,N6,S,W,,,N4,W,S
12,12,M,O,M,L,M12,L12,M12,L12,D,A,,,,,,,,,,,,,,,N5,W,S
13,13,M,O,L,M,L13,M13,L13,M13,B,C,,,,,,,,,D,N4,W,S,,,N6,W,S
14,14,M,O,M,L,M14,L14,M14,L14,B,C,,,,,,,,,D,N5,W,S,,,,,
15,15,M,O,L,M,L15,M15,L15,M15,C,B,,,,,,,,,D,N6,W,S,,,,,
16,16,M,O,M,L,M16,L16,M16,L16,C,B,,,,,,,,,,,,,,,,,
17,17,F,Y,L,M,L17,M17,L17,M17,A,D,,,,,,,,,,,,,,,,,
18,18,F,Y,M,L,M18,L18,M18,L18,A,D,,,,,,,,,,,,,,,,,
19,19,F,Y,L,M,L19,M19,L19,M19,D,A,,,,,,,,,,,,,,,,,
20,20,F,Y,M,L,M20,L20,M20,L20,D,A,,,,,,,,,,,,,,,,,
21,21,F,Y,L,M,L21,M21,L21,M21,B,C,,,,,,,,,,,,,,,,,
22,22,F,Y,M,L,M22,L22,M22,L22,B,C,,,,,,,,,,,,,,,,,
23,23,F,Y,L,M,L23,M23,L23,M23,C,B,,,,,,,,,,,,,,,,,
24,24,F,Y,M,L,M24,L24,M24,L24,C,B,,,,,,,,,,,,,,,,,
25,25,F,O,L,M,L25,M25,L25,M25,A,D,,,,,,,,,,,,,,,,,
26,26,F,O,M,L,M26,L26,M26,L26,A,D,,,,,,,,,,,,,,,,,
27,27,F,O,L,M,L27,M27,L27,M27,D,A,,,,,,,,,,,,,,,,,
28,28,F,O,M,L,M28,L28,M28,L28,D,A,,,,,,,,,,,,,,,,,
29,29,F,O,L,M,L29,M29,L29,M29,B,C,,,,,,,,,,,,,,,,,
30,30,F,O,M,L,M30,L30,M30,L30,B,C,,,,,,,,,,,,,,,,,
31,31,F,O,L,M,L31,M31,L31,M31,C,B,,,,,,,,,,,,,,,,,
32,32,F,O,M,L,M32,L32,M32,L32,C,B,,,,,,,,,,,,,,,,,